ein,business_name,source_zip,source_entry
832838425,"MARTIN HOOD LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200615_public.xml"
844433643,"DAVID A TURK CPA LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349200720_public.xml"
810371880,"Boyle Deveny &amp; Meyer PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349201110_public.xml"
341800870,"PAYNE NICKLES &amp; COMPANY",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349300225_public.xml"
550743089,"STRADER &amp; ASSOCIATES",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349300600_public.xml"
920078211,"Kodiak Tax Service",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349300720_public.xml"
660426667,"DIAZ AND CANDELARIA PSC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349300805_public.xml"
263659897,"THE RICKS GROUP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349301120_public.xml"
821595255,"LYLES AND SINCLAIR",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300189349301400_public.xml"
843147138,"EISNER ADVISORY GROUP LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349100210_public.xml"
465088648,"MOUNTAIN &amp; MUSE FOUNDATION INC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349100305_public.xml"
731680396,"HEWKO FAMILY CHARITABLE FOUNDATION",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349100400_public.xml"
770366215,"WAYNE W SMITH AN ACCOUNTANCY CORP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200030_public.xml"
201190609,"HOFSTRA BOTT &amp; KRAFT PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200110_public.xml"
233076690,"GROFT NOEL CPA &amp; BUSINESS CONSULTANTS",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200405_public.xml"
261596313,"Scott Mainord Langley &amp; Simmons Inc",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200510_public.xml"
843310075,"PROPHETIC COMPANY GLOBAL",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200705_public.xml"
421564135,"VENTANA DEL SOUL",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200830_public.xml"
421676884,"Idaho Weed Awareness Campaign",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200900_public.xml"
316038104,"J S GRAHAM",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349200905_public.xml"
830118783,"GROOMS &amp; HARKINS PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349300240_public.xml"
824211263,"CLIFTONLARSONALLEN LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300199349301210_public.xml"
451168557,"ARIEL A JAVIER A PROF CORP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202310199339300306_public.xml"
200792103,"UMBREIT WILECZEK &amp; ASSOCIATES PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349200115_public.xml"
872290161,"Cox Accounting Services LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349200310_public.xml"
930122390,"NAGEL &amp; PADILLA LLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349200510_public.xml"
362421345,"Gorzynski Uglow &amp; Farrell PC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349200910_public.xml"
660491142,"DIAZ &amp; CANDELARIA PSC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202320199349301242_public.xml"
381363572,"Master Plan Inc",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349300300_public.xml"
680680719,"Facet Advisors Inc",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349300415_public.xml"
383522782,"HUNGERFORD NICHOLS CPAS ADVISORS",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349300405_public.xml"
853943391,"Ravencoin Foundation",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349300600_public.xml"
620793411,"DEMPSEY VANTREASE &amp; FOLLIS PLLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349300740_public.xml"
364605639,"PRICEWATERHOUSECOOPERS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349301005_public.xml"
660319405,"CPA LUIS CRUZ PSC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300209349301020_public.xml"
845169548,"LIONEL'S TAX &amp; BOOKKEEPING SERVICE",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300219349100000_public.xml"
467203550,"PHILIP E HUGHES JR",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300219349100300_public.xml"
824213353,"Hatch &amp; Associates",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300219349200205_public.xml"
236215530,"PRICEWATERHOUSECOOPERS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300219349100400_public.xml"
830697361,"King &amp; King CPAs PLLC",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300219349200700_public.xml"
387267158,"PRICEWATERHOUSECOOPERS LLP",2023_TEOS_XML_01A,"2023_TEOS_XML_01A/202300219349100500_public.xml"
